City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
2,Bethel,US,83.46,41.3712,-73.414,Courtyard by Marriott Danbury
6,Albany,US,79.61,42.6001,-73.9662,
8,Auki,SB,79.65,-8.7676,160.7034,Auki Motel
9,Pitimbu,BR,75.63,-7.4706,-34.8086,Reserva do Abiaí
14,Sola,VU,77.68,-13.8833,167.55,Leumerus Bungalows
18,Jamestown,US,76.08,42.097,-79.2353,Hampton Inn & Suites Jamestown
27,Mangrol,IN,80.83,21.1167,70.1167,Hotel The Royal Honours
33,Manggar,ID,80.08,-2.8833,108.2667,Guest Hotel
34,Praia,CV,78.08,14.9215,-23.5087,LT Aparthotel
38,Avarua,CK,75.25,-21.2078,-159.775,Paradise Inn
41,Kapaa,US,84.18,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Guerrero Negro,MX,80.55,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
45,Paraibano,BR,83.79,-6.4331,-43.9836,Casa Pedrosa
47,Butaritari,KI,82.8,3.0707,172.7902,Isles Sunset Lodge
53,Ponta Do Sol,PT,84.83,32.6667,-17.1,Hotel do Campo
54,Russell,US,87.51,32.3502,-85.1999,Macs
55,Marsh Harbour,BS,83.73,26.5412,-77.0636,Abaco Beach Resort
57,Georgetown,MY,78.89,5.4112,100.3354,Cititel Penang
61,Mount Pleasant,US,87.98,32.7941,-79.8626,Best Western Patriots Point
64,Balsas,BR,87.57,-7.5325,-46.0356,Novo Hotel
66,Basco,PH,83.19,20.4487,121.9702,Nathaniel's Lodge
68,Bud,US,78.93,39.446999999999996,-86.1758,Ted McQuinn Trust
69,Ingham,US,80.06,42.6,-84.3833,Sunset Place
73,Biltine,TD,76.95,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
81,Victoria,HK,80.96,22.2855,114.1577,Mini Hotel Central
83,Faanui,PF,79.03,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
84,Dagana,MR,87.44,16.5165,-15.5068,Quartier Dille koumba fatim thiam
86,Atuona,PF,77.92,-9.8,-139.0333,Villa Enata
87,Yarmouth,US,79.02,41.7057,-70.2286,Blue Rock Resort
92,Toucheng,TW,82.15,24.8592,121.8233,和風時尚VILLA會館
93,Porto Novo,BJ,76.14,6.4965,2.6036,Tour Eiffel Hotel Benin
94,Broome,US,78.01,42.2506,-75.833,Chenango Valley State Park
96,Hilo,US,79.61,19.7297,-155.09,Hilo Hawaiian Hotel
100,Pasni,PK,78.75,25.2631,63.471000000000004,Kashmiri Hotal
109,Hithadhoo,MV,82.89,-0.6,73.0833,Scoop Guest House
113,Marsa Matruh,EG,78.67,31.3525,27.2453,Beau Site
116,Kimbe,PG,76.14,-5.5502,150.1429,Kimbe Bay Hotel
118,Lazaro Cardenas,MX,86.65,17.9583,-102.2,quinta antigua
121,Ipixuna,BR,85.95,-1.7625,-48.8043,Casa da Oscarina
123,Kavieng,PG,81.95,-2.5744,150.7967,Nusa Island Retreat
124,Torbay,CA,77.88,47.6666,-52.7314,Gallows Cove
135,Wanning,CN,80.04,18.8003,110.3967,Paradise Hotel
137,Acapulco,MX,85.59,16.8634,-99.8901,HS Hotsson Smart Acapulco
138,Labuhan,ID,75.87,-6.8844,112.2051,PT PPI Lamongan Tambak C
142,San Cristobal,VE,75.72,7.7669,-72.225,Posada Villaven C.A.
143,Gasa,PS,82.38,31.5,34.4667,رابطة الفنانين الفلسطينيين
145,Praya,CV,79.34,14.9215,-23.5087,LT Aparthotel
163,Mazagao,BR,82.47,-0.115,-51.2894,Recanto dos Ferreiras
164,Palmer,US,83.03,42.1584,-72.3287,Wedgewood Motel
167,Ocean City,US,88.38,39.2776,-74.5746,Biscayne Suites
171,Juegang,CN,76.98,32.3174,121.1855,Rudong Y Hotel
175,Mattoon,US,80.55,39.4831,-88.3728,"Holiday Inn Express & Suites Mattoon, an IHG Hotel"
176,Jardim,BR,86.0,-21.4803,-56.1381,Estancia Hotel - Jardim MS
178,Mogadishu,SO,76.12,2.0371,45.3438,Hotel Juba
181,Skeldon,GY,78.58,5.8833,-57.1333,Rits Hotel
182,Kahului,US,83.46,20.8947,-156.47,Maui Seaside Hotel
190,Bartica,GY,78.57,6.4,-58.6167,Sloth Island Nature Resort
192,Jasper,US,89.87,37.2001,-94.3502,Guest House Motel
193,Huntsville,US,89.13,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
198,Cao Bang,VN,75.04,22.6667,106.25,khách sạn 88
202,Naze,JP,77.97,28.3667,129.4833,オーベルジュ・アガルイ
213,Orocue,CO,85.96,4.7912,-71.3354,Hotel Brisas de San Miguel
214,Lorengau,PG,79.95,-2.0226,147.2712,Lorengau Harbourside Hotel
