City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,58.01,68,100,11.65,overcast clouds
1,Castro,BR,-24.7911,-50.0119,62.11,77,25,1.45,scattered clouds
2,Bethel,US,41.3712,-73.414,83.46,50,100,5.68,overcast clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,72.55,88,85,5.01,overcast clouds
4,Coihueco,CL,-36.6167,-71.8333,48.79,90,100,9.13,overcast clouds
5,Kwekwe,ZW,-18.9281,29.8149,53.73,70,0,7.81,clear sky
6,Albany,US,42.6001,-73.9662,79.61,55,100,3.49,overcast clouds
7,Punta Arenas,CL,-53.15,-70.9167,45.41,77,100,3.4,overcast clouds
8,Auki,SB,-8.7676,160.7034,79.65,82,80,4.41,broken clouds
9,Pitimbu,BR,-7.4706,-34.8086,75.63,75,50,15.12,scattered clouds
10,Mataura,NZ,-46.1927,168.8643,52.48,83,100,5.1,overcast clouds
11,Isangel,VU,-19.55,169.2667,70.97,67,78,18.1,broken clouds
12,Bengkulu,ID,-3.8004,102.2655,74.48,88,88,3.31,overcast clouds
13,Darovskoy,RU,58.77,47.9564,59.04,65,89,5.57,overcast clouds
14,Sola,VU,-13.8833,167.55,77.68,78,81,26.51,broken clouds
15,Rikitea,PF,-23.1203,-134.9692,74.64,74,0,12.39,clear sky
16,Ilulissat,GL,69.2167,-51.1,44.62,93,40,8.05,scattered clouds
17,Kiama,AU,-34.6833,150.8667,58.37,43,0,12.68,clear sky
18,Jamestown,US,42.097,-79.2353,76.08,71,100,6.51,overcast clouds
19,Maldonado,UY,-34.6667,-54.9167,49.23,94,72,4.27,broken clouds
20,Bluff,NZ,-46.6,168.3333,52.81,67,99,20.15,overcast clouds
21,Hermanus,ZA,-34.4187,19.2345,55.9,80,22,6.96,few clouds
22,Santa Luzia,BR,-19.7697,-43.8514,71.38,52,97,5.57,overcast clouds
23,New Norfolk,AU,-42.7826,147.0587,40.5,84,100,1.99,light rain
24,Santa Fe,AR,-31.6333,-60.7,64.9,44,0,1.01,clear sky
25,Hobart,AU,-42.8794,147.3294,40.86,90,75,1.01,light intensity shower rain
26,Severo-Kurilsk,RU,50.6789,156.125,55.92,87,27,13.0,scattered clouds
27,Mangrol,IN,21.1167,70.1167,80.83,81,100,13.18,overcast clouds
28,Warrnambool,AU,-38.3833,142.4833,52.81,71,59,21.59,broken clouds
29,Saint-Philippe,RE,-21.3585,55.7679,65.79,81,77,12.93,light rain
30,Sakaiminato,JP,35.55,133.2333,74.26,83,100,6.73,overcast clouds
31,Saskylakh,RU,71.9167,114.0833,46.24,74,61,7.07,broken clouds
32,Magadan,RU,59.5667,150.8,55.87,96,100,4.41,overcast clouds
33,Manggar,ID,-2.8833,108.2667,80.08,84,100,12.55,overcast clouds
34,Praia,CV,14.9215,-23.5087,78.08,86,83,6.51,broken clouds
35,Busselton,AU,-33.65,115.3333,53.04,72,0,10.54,clear sky
36,Vincennes,FR,48.85,2.4333,70.02,74,40,6.91,scattered clouds
37,Bella Union,UY,-30.2752,-57.6007,62.15,64,7,4.81,clear sky
38,Avarua,CK,-21.2078,-159.775,75.25,69,75,11.5,broken clouds
39,Chimoio,MZ,-19.1164,33.4833,55.26,88,40,2.08,scattered clouds
40,Port Alfred,ZA,-33.5906,26.891,59.5,75,0,13.11,clear sky
41,Kapaa,US,22.0752,-159.319,84.18,69,36,4.0,light rain
42,Guerrero Negro,MX,27.9769,-114.0611,80.55,57,6,15.37,clear sky
43,Kodiak,US,57.79,-152.4072,56.1,62,7,0.29,clear sky
44,Margate,GB,51.3813,1.3862,65.7,76,39,3.0,scattered clouds
45,Paraibano,BR,-6.4331,-43.9836,83.79,25,29,3.0,scattered clouds
46,Soe,ID,-9.8607,124.284,64.42,91,34,4.99,scattered clouds
47,Butaritari,KI,3.0707,172.7902,82.8,73,25,8.84,scattered clouds
48,Carnarvon,AU,-24.8667,113.6333,67.39,53,23,8.99,few clouds
49,Dali,CN,25.7,100.1833,63.28,97,98,2.68,overcast clouds
50,Xichang,CN,27.8964,102.2634,64.24,93,99,1.88,overcast clouds
51,Vaini,TO,-21.2,-175.2,70.11,62,23,19.62,few clouds
52,Chaohu,CN,31.6,117.8667,73.54,95,100,2.21,moderate rain
